state_code,state_name,rto_code,rto_name,metric,year,count,growth_pct
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),transactions,2024:,86301,-8.88%
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),transactions,2023:,94716,-2.49%
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),transactions,2022:,97137,
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),revenue,Till Today,9097891078269,
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),revenue,2026:,13207044,
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),revenue,2025:,73674881,14.71%
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),revenue,2024:,64228466,11.66%
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),revenue,2023:,57519660,27.93%
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),revenue,2022:,44963569,
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),permits,Till Today,26716624,
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),permits,2026:,216,
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),permits,2025:,946,-13.37%
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),permits,2024:,1092,-24.74%
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),permits,2023:,1451,152.35%
AN,Andaman & Nicobar Island,211,Car Nicobar - AN211( 23-FEB-2023 ),permits,2022:,575,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),registrations,Till Today,417663328,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),registrations,2026:,4385834,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),registrations,2025:,28253418,7.79%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),registrations,2024:,26210514,9.17%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),registrations,2023:,24009647,11.26%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),registrations,2022:,21579546,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),transactions,Till Today,1726904630,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),transactions,2026:,13271,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),transactions,2025:,93200,7.99%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),transactions,2024:,86301,-8.88%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),transactions,2023:,94716,-2.49%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),transactions,2022:,97137,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),revenue,Till Today,9097891078269,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),revenue,2026:,13207044,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),revenue,2025:,73674881,14.71%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),revenue,2024:,64228466,11.66%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),revenue,2023:,57519660,27.93%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),revenue,2022:,44963569,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),permits,Till Today,26716624,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),permits,2026:,216,
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),permits,2025:,946,-13.37%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),permits,2024:,1092,-24.74%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),permits,2023:,1451,152.35%
AN,Andaman & Nicobar Island,204,Diglipur - AN204( 09-NOV-2021 ),permits,2022:,575,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),registrations,Till Today,417663328,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),registrations,2026:,4385834,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),registrations,2025:,28253418,7.79%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),registrations,2024:,26210514,9.17%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),registrations,2023:,24009647,11.26%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),registrations,2022:,21579546,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),transactions,Till Today,1726904630,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),transactions,2026:,13271,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),transactions,2025:,93200,7.99%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),transactions,2024:,86301,-8.88%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),transactions,2023:,94716,-2.49%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),transactions,2022:,97137,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),revenue,Till Today,9097891078269,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),revenue,2026:,13207044,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),revenue,2025:,73674881,14.71%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),revenue,2024:,64228466,11.66%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),revenue,2023:,57519660,27.93%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),revenue,2022:,44963569,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),permits,Till Today,26716624,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),permits,2026:,216,
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),permits,2025:,946,-13.37%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),permits,2024:,1092,-24.74%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),permits,2023:,1451,152.35%
AN,Andaman & Nicobar Island,200,Ferrargunj - AN200( 12-OCT-2021 ),permits,2022:,575,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),registrations,Till Today,417663328,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),registrations,2026:,4385834,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),registrations,2025:,28253418,7.79%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),registrations,2024:,26210514,9.17%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),registrations,2023:,24009647,11.26%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),registrations,2022:,21579546,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),transactions,Till Today,1726904630,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),transactions,2026:,13271,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),transactions,2025:,93200,7.99%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),transactions,2024:,86301,-8.88%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),transactions,2023:,94716,-2.49%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),transactions,2022:,97137,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),revenue,Till Today,9097891078269,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),revenue,2026:,13207044,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),revenue,2025:,73674881,14.71%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),revenue,2024:,64228466,11.66%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),revenue,2023:,57519660,27.93%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),revenue,2022:,44963569,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),permits,Till Today,26716624,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),permits,2026:,216,
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),permits,2025:,946,-13.37%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),permits,2024:,1092,-24.74%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),permits,2023:,1451,152.35%
AN,Andaman & Nicobar Island,207,Little Andaman - AN207( 17-FEB-2025 ),permits,2022:,575,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),registrations,Till Today,417663328,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),registrations,2026:,4385834,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),registrations,2025:,28253418,7.79%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),registrations,2024:,26210514,9.17%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),registrations,2023:,24009647,11.26%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),registrations,2022:,21579546,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),transactions,Till Today,1726904630,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),transactions,2026:,13271,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),transactions,2025:,93200,7.99%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),transactions,2024:,86301,-8.88%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),transactions,2023:,94716,-2.49%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),transactions,2022:,97137,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),revenue,Till Today,9097891078269,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),revenue,2026:,13207044,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),revenue,2025:,73674881,14.71%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),revenue,2024:,64228466,11.66%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),revenue,2023:,57519660,27.93%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),revenue,2022:,44963569,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),permits,Till Today,26716624,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),permits,2026:,216,
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),permits,2025:,946,-13.37%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),permits,2024:,1092,-24.74%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),permits,2023:,1451,152.35%
AN,Andaman & Nicobar Island,203,Mayabunder - AN203( 09-NOV-2021 ),permits,2022:,575,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),registrations,Till Today,417663328,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),registrations,2026:,4385834,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),registrations,2025:,28253418,7.79%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),registrations,2024:,26210514,9.17%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),registrations,2023:,24009647,11.26%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),registrations,2022:,21579546,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),transactions,Till Today,1726904630,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),transactions,2026:,13271,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),transactions,2025:,93200,7.99%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),transactions,2024:,86301,-8.88%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),transactions,2023:,94716,-2.49%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),transactions,2022:,97137,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),revenue,Till Today,9097891078269,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),revenue,2026:,13207044,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),revenue,2025:,73674881,14.71%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),revenue,2024:,64228466,11.66%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),revenue,2023:,57519660,27.93%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),revenue,2022:,44963569,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),permits,Till Today,26716624,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),permits,2026:,216,
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),permits,2025:,946,-13.37%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),permits,2024:,1092,-24.74%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),permits,2023:,1451,152.35%
AN,Andaman & Nicobar Island,1,Port Blair DTO - AN1( 15-AUG-2020 ),permits,2022:,575,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),registrations,Till Today,417663328,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),registrations,2026:,4385834,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),registrations,2025:,28253418,7.79%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),registrations,2024:,26210514,9.17%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),registrations,2023:,24009647,11.26%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),registrations,2022:,21579546,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),transactions,Till Today,1726904630,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),transactions,2026:,13271,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),transactions,2025:,93200,7.99%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),transactions,2024:,86301,-8.88%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),transactions,2023:,94716,-2.49%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),transactions,2022:,97137,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),revenue,Till Today,9097891078269,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),revenue,2026:,13207044,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),revenue,2025:,73674881,14.71%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),revenue,2024:,64228466,11.66%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),revenue,2023:,57519660,27.93%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),revenue,2022:,44963569,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),permits,Till Today,26716624,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),permits,2026:,216,
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),permits,2025:,946,-13.37%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),permits,2024:,1092,-24.74%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),permits,2023:,1451,152.35%
AN,Andaman & Nicobar Island,202,Rangat - AN202( 17-NOV-2021 ),permits,2022:,575,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),registrations,Till Today,417663328,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),registrations,2026:,4385834,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),registrations,2025:,28253418,7.79%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),registrations,2024:,26210514,9.17%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),registrations,2023:,24009647,11.26%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),registrations,2022:,21579546,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),transactions,Till Today,1726904630,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),transactions,2026:,13271,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),transactions,2025:,93200,7.99%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),transactions,2024:,86301,-8.88%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),transactions,2023:,94716,-2.49%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),transactions,2022:,97137,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),revenue,Till Today,9097891078269,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),revenue,2026:,13207044,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),revenue,2025:,73674881,14.71%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),revenue,2024:,64228466,11.66%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),revenue,2023:,57519660,27.93%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),revenue,2022:,44963569,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),permits,Till Today,26716624,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),permits,2026:,216,
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),permits,2025:,946,-13.37%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),permits,2024:,1092,-24.74%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),permits,2023:,1451,152.35%
AN,Andaman & Nicobar Island,206,Swaraj Dweep - AN206( 29-NOV-2021 ),permits,2022:,575,
AP,Andhra Pradesh,201,Baratang - AN201( 29-NOV-2024 ),registrations,Till Today,417663328,
AP,Andhra Pradesh,201,Baratang - AN201( 29-NOV-2024 ),registrations,2026:,4385834,
AP,Andhra Pradesh,201,Baratang - AN201( 29-NOV-2024 ),registrations,2025:,28253418,7.79%
AP,Andhra Pradesh,201,Baratang - AN201( 29-NOV-2024 ),registrations,2024:,26210514,9.17%
AP,Andhra Pradesh,201,Baratang - AN201( 29-NOV-2024 ),registrations,2023:,24009647,11.26%
AP,Andhra Pradesh,201,Baratang - AN201( 29-NOV-2024 ),registrations,2022:,21579546,
AP,Andhra Pradesh,201,Baratang - AN201( 29-NOV-2024 ),transactions,Till Today,1726904630,
AP,Andhra Pradesh,201,Baratang - AN201( 29-NOV-2024 ),transactions,2026:,13271,
AP,Andhra Pradesh,201,Baratang - AN201( 29-NOV-2024 ),transactions,2025:,93200,7.99%
